id,title,image_link,country,years,director_description,leader,star,description,alltags,imdb,language,time_length
1033462,749局,https://image.tmdb.org/t/p/w500/xW640PVBXLlzhrkQnAcvWNsehIO.jpg,China,2024,陆川,王俊凯/苗苗/郑恺/任敏/辛柏青,5.472,　　电影《749局》是导演陆川编剧并执导的最新力作，讲述了一个少年成长冒险的热血故事。影片灵感源于导演陆川军校毕业后在749局的工作经历，有着悬疑紧张的冒险故事，热血澎湃的动作场面，少年成长的故事内核，以及浪漫的情节元素，并集结了一批国内演技出众的青年演员，是一部商业类型与情感元素并重的影片，也是他致敬自己少年和那一代人的一部少年气十足的作品。,动作/冒险/科幻,tt10210064,zh,123分钟
1419406,捕风追影,https://image.tmdb.org/t/p/w500/o25Tk1FYQi2BLk0OEAvx2h69QvB.jpg,China,2025,杨子,成龙/张子枫/梁家辉/此沙/文俊辉,6.267,一伙天才盗匪劫走数亿资产，却凭借超强反侦察能力全身而退，戏耍警方“天眼”系统。一筹莫展之际，澳门司警局请回了隐退多年的跟踪专家黄德忠（成龙 饰），他培养年轻司警何秋果（张子枫 饰）等人，重组“神秘跟踪队”，最终锁定了盗匪团的幕后狼王傅隆生（梁家辉 饰）。当警方布下天罗地网之时，盗匪团也设下局中局，斗智斗勇斗心眼，一场高端猫鼠局拉开帷幕......,动作/犯罪/惊悚,tt34610311,zh,141分钟
1363123,家庭计划2,https://image.tmdb.org/t/p/w500/3BoNVD6edBhWpdFzxSdZ2PtmD4I.jpg,United States of America,2025,Simon Cellan Jones,马克·沃尔伯格/米歇尔·莫纳汉/基特·哈灵顿/佐伊·科莱蒂/凡·克罗斯比,6.821,告别杀手生涯的丹，这次圣诞节只想陪孩子们共度美好时光。当发现女儿另有计划时，他安排全家去伦敦旅行，此时却有一名意外的敌人盯上他们一家。,动作/喜剧,tt34276058,en,106分钟
1084242,疯狂动物城2,https://image.tmdb.org/t/p/w500/YQildBNfvOR8IQiwFY66IzrT9z.jpg,United States of America,2025,贾里德·布什/拜恩·霍华德,詹妮弗·古德温/杰森·贝特曼/关继威/福琼·费姆斯特/安迪·萨姆伯格,7.551,在《疯狂动物城2》中，警官兔朱迪（金妮弗·古德温 Ginnifer Goodwin 配音）与狐尼克（杰森·贝特曼 Jason Bateman 配音）这对备受全球观众喜爱的搭档将再度携手，带领观众重返充满活力的动物城，开启全新冒险。故事紧接前作，这对默契十足的搭档将直面职业与关系上的新挑战，揭开动物城深藏的秘密。,动画/家庭/喜剧/冒险/悬疑,tt26443597,en,107分钟
1309012,改造,https://image.tmdb.org/t/p/w500/6QlAcGRaUrgHcZ4WTBh5lsPnzKx.jpg,Canada/Ireland/Germany/United States of America,2025,蒂莫·沃伦索拉,汤姆·费尔顿/Aggy K. Adams/Elizaveta Bugulova/伊戈尔·吉吉金/理查德·布拉克,6.571,,科幻/动作,tt32123395,en,85分钟
1062722,Frankenstein,https://image.tmdb.org/t/p/w500/7GLwLJ3YCLOUZpZ3F57Ysy5UOTP.jpg,United States of America/Canada,2025,吉尔莫·德尔·托罗,奥斯卡·伊萨克/雅各布·艾洛蒂/克里斯托弗·瓦尔兹/米娅·高斯/费利克斯·卡默雷尔,7.772,,剧情/恐怖/奇幻,tt1312221,en,152分钟
967941,魔法坏女巫2,https://image.tmdb.org/t/p/w500/czz4MOzBOsLxFL8G40eIvRKE2Sp.jpg,United States of America,2025,朱浩伟,爱莉安娜·格兰德/辛西娅·埃里沃/乔纳森·贝利/杰夫·高布伦/杨紫琼,6.8,"　　自从艾芙芭（辛西娅·埃里沃 饰）与格琳达（爱莉安娜·格兰德 饰）分道扬镳、形同陌路之后，各自承受她们做出的抉择所带来的后果。 　　被冠上“西方坏女巫”恶名的艾芙芭遭到放逐后，隐居在奥兹国树林深处，但是却仍然为被噤声的动物争取自由而奋斗，并且迫切地想要揭露她所知道关于奥兹国大巫师（杰夫· 高布伦 饰）的真相。 　　与此同时，格琳达已经成为奥兹国光鲜亮丽的良善象征，她住在翡翠城皇宫中， 享受她的响亮名声和超高人气所带来的明星光环与特权。在莫里贝尔夫人（杨紫琼 饰）的安排下，格琳达成为奥兹国人民眼中充满粉红泡泡的安抚力量，并且让他们相信奥兹国在大巫师的统治之下一切都很好。 　　当格琳达的明星光环越来越闪亮，她也准备和费耶罗王子（乔纳森·贝利 饰）举行一场盛大的婚礼，但是她却一直受到她和艾芙芭分开后的阴影所纠缠。她试图促成艾芙芭与大巫师之间的和解，然而她所有的努力都以失败告终，使得艾芙芭和格琳达的关系越来越疏远。她们的关系决裂所造成的影响，将彻底改变博克（伊森·斯莱特 饰）与费耶罗的命运，也将威胁到艾芙芭的妹妹涅莎萝丝（玛丽莎·博德 饰）的安危，而一名来自堪萨斯州的少女也将闯入奥兹国，彻底翻转他们的世界。 　　当一群愤怒的民众揭竿而起，打算对抗西方坏女巫，格琳达和艾芙芭就必须最后一次携手合作。当她们的友情成为改变她们未来的关键，她们就必须以真心诚意和无比的同理心真正了解彼此，并且改变自己，也让整个奥兹国变得更美好。",奇幻/冒险/爱情,tt19847976,en,137分钟
1196573,亡命父女,https://image.tmdb.org/t/p/w500/b73igAiZl8tbYRt9HdtNX43O72W.jpg,United States of America,2025,Nick Rowland,塔伦·埃哲顿/Ana Sophia Heger/奥德萨·阿兹恩/约翰·卡罗尔·林奇/David Lyons,6.9,内特（泰隆艾格顿 饰）出狱之后渴望能够重新做人，但他在狱中招惹到的犯罪集团却开始追杀他的家人作为报复，内特被迫带着关系疏远的11岁女儿波莉（安娜苏菲亚海格 饰）展开逃亡之旅，并设法向生性胆小的她传授生存之道……。,动作/惊悚/犯罪,tt27986457,en,120分钟
1054867,一战再战,https://image.tmdb.org/t/p/w500/pcaSAivZ8uFYAVmufI0ArKy7mE3.jpg,United States of America,2025,保罗·托马斯·安德森,莱昂纳多·迪卡普里奥/西恩·潘/蔡斯·英菲尼迪/本尼西奥·德尔·托罗/雷吉娜·赫尔,7.5,落魄潦倒的革命者鲍勃（莱昂纳多·迪卡普里奥 饰）终日生活在草木皆兵的偏执状态，他与世隔绝，只和坚韧自立的女儿薇拉（蔡斯·英菲尼迪 饰）相依为命。然而，当鲍勃的宿敌（西恩·潘 饰）在16年后再度现身，女儿也突然失踪，这位曾经的激进分子仓促踏上了寻女之路，父女二人不得不直面他过往行为种下的恶果……,动作/惊悚/犯罪,tt30144839,en,162分钟
1116465,传说,https://image.tmdb.org/t/p/w500/2eLjgesRLYQ8kjfwusSwxgNFcHv.jpg,China/Hong Kong,2024,唐季礼,成龙/张艺兴/古力娜扎/李治廷/李晨,6.769,考古专家陈教授（成龙 饰）察觉，学生在冰川考察时发现的文物上的纹理和自己梦中所见到的一块玉佩极为相似，仿佛通过玉佩将梦境和现实联通了起来。带着所有的疑问，陈教授率领考察队深入冰川神庙，探寻梦中真相，共同开启一场奇幻冒险之旅。,动作/冒险/奇幻,tt27589902,zh,129分钟
1426968,Ya no quedan junglas,https://image.tmdb.org/t/p/w500/pzKeASTj4HitqVXB1cdvswmMV50.jpg,Spain/Mexico,2025,Gabriel Beristain,朗·普尔曼/梅根·蒙塔纳/霍威克·库区科利安/达米安·阿尔卡扎/Marco de la O,6.1,,动作/犯罪/惊悚,tt32140922,es,89分钟
1208561,八肢艺术,https://image.tmdb.org/t/p/w500/tZRypLd2SU3Eeqg5tD5cwkk5CdL.jpg,United States of America,2024,Robert Grasmere,林路迪/Grace Vorananth/萨哈贾克·波斯安吉特/尼古拉斯·哈蒙德/维他亚·潘斯林加姆,6.019,四罐致命的VX神经毒气落入了缅甸一名国际军火商的手中。中央情报局的一名新招募的特工向一名已经在当地的特工交付了一台高科技探测设备。,动作/惊悚,tt10079652,en,101分钟
1242898,铁血战士：杀戮之地,https://image.tmdb.org/t/p/w500/oDFIBAT9HLXx95HMT6kjbOw7Ge7.jpg,United States of America,2025,丹·特拉亨伯格,艾丽·范宁/迪米特里乌斯·科罗马坦基/Rohinal Nayaran/Michael Homick/Stefan Grube,7.445,一名外星猎手被所属部族驱逐后，意外与一台受损的机器人结为盟友，随后踏上险象环生的旅程，寻找自己的终极宿敌。,动作/科幻/冒险,tt31227572,en,107分钟
1539104,咒术回战 涩谷事变×死灭回游 剧场版,https://image.tmdb.org/t/p/w500/w9cGxkIPdiW6rZKQiJHmeQTO56d.jpg,Japan,2025,御所园翔太,榎木淳弥/内田雄马/濑户麻沙美/津田健次郎/木村昴,4.526,,动画/动作,tt38121182,ja,88分钟
